timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722207155025,337, LoginPage,200,OK,Thread Group 1-14,text,true,,5764,124,6,6,https://www.blazedemo.com/login,336,0,0
1722207154571,820, LoginPage,200,OK,Thread Group 1-10,text,true,,5768,124,6,6,https://www.blazedemo.com/login,820,0,0
1722207155394,237,PurchasePage,200,OK,Thread Group 1-10,text,true,,6719,840,6,6,https://www.blazedemo.com/purchase.php,236,0,0
1722207155261,393,MainPage,200,OK,Thread Group 1-15,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,393,0,0
1722207155656,197, LoginPage,200,OK,Thread Group 1-15,text,true,,5754,124,6,6,https://www.blazedemo.com/login,196,0,0
1722207155271,594,FlightsPage,200,OK,Thread Group 1-16,text,true,,7245,130,6,6,https://www.blazedemo.com/reserve.php,589,0,157
1722207155202,693,PurchasePage,200,OK,Thread Group 1-11,text,true,,6719,840,6,6,https://www.blazedemo.com/purchase.php,691,0,0
1722207155365,844,PurchasePage,200,OK,Thread Group 1-14,text,true,,6719,836,5,5,https://www.blazedemo.com/purchase.php,843,0,0
1722207154559,1650,PurchasePage,200,OK,Thread Group 1-12,text,false,"The operation lasted too long: It took 1,650 milliseconds, but should not have lasted longer than 1,000 milliseconds.",6719,836,5,5,https://www.blazedemo.com/purchase.php,1649,0,0
1722207155854,445,PurchasePage,200,OK,Thread Group 1-15,text,true,,6719,826,4,4,https://www.blazedemo.com/purchase.php,442,0,0
1722207155772,723,FlightsPage,200,OK,Thread Group 1-17,text,true,,7245,130,3,3,https://www.blazedemo.com/reserve.php,722,0,63
1722207156268,416,FlightsPage,200,OK,Thread Group 1-18,text,true,,7245,130,3,3,https://www.blazedemo.com/reserve.php,415,0,68
1722207156686,202,MainPage,200,OK,Thread Group 1-18,text,true,,4757,128,4,4,https://www.blazedemo.com/index.php,200,0,0
1722207155866,1024,MainPage,200,OK,Thread Group 1-16,text,false,"The operation lasted too long: It took 1,024 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4757,128,4,4,https://www.blazedemo.com/index.php,1023,0,0
1722207156773,357,FlightsPage,200,OK,Thread Group 1-19,text,true,,7245,130,4,4,https://www.blazedemo.com/reserve.php,357,0,75
1722207156496,702,MainPage,200,OK,Thread Group 1-17,text,true,,4757,128,4,4,https://www.blazedemo.com/index.php,702,0,0
1722207156889,347, LoginPage,200,OK,Thread Group 1-18,text,true,,5768,124,4,4,https://www.blazedemo.com/login,346,0,0
1722207157274,359,FlightsPage,200,OK,Thread Group 1-20,text,true,,7245,130,5,5,https://www.blazedemo.com/reserve.php,349,0,70
1722207156890,744, LoginPage,200,OK,Thread Group 1-16,text,true,,5756,124,5,5,https://www.blazedemo.com/login,743,0,0
1722207157132,532,MainPage,200,OK,Thread Group 1-19,text,true,,4757,128,5,5,https://www.blazedemo.com/index.php,524,0,0
1722207157665,239, LoginPage,200,OK,Thread Group 1-19,text,true,,5756,124,5,5,https://www.blazedemo.com/login,238,0,0
1722207157199,876, LoginPage,200,OK,Thread Group 1-17,text,true,,5768,124,5,5,https://www.blazedemo.com/login,876,0,0
1722207157907,197,PurchasePage,200,OK,Thread Group 1-19,text,true,,6719,828,5,5,https://www.blazedemo.com/purchase.php,193,0,0
1722207157635,959,PurchasePage,200,OK,Thread Group 1-16,text,true,,6719,828,4,4,https://www.blazedemo.com/purchase.php,956,0,0
1722207157634,1024,MainPage,200,OK,Thread Group 1-20,text,false,"The operation lasted too long: It took 1,024 milliseconds, but should not have lasted longer than 1,000 milliseconds.",4757,128,3,3,https://www.blazedemo.com/index.php,1023,0,0
1722207157238,1529,PurchasePage,200,OK,Thread Group 1-18,text,false,"The operation lasted too long: It took 1,529 milliseconds, but should not have lasted longer than 1,000 milliseconds.",6719,840,3,3,https://www.blazedemo.com/purchase.php,1515,0,0
1722207158079,1062,PurchasePage,200,OK,Thread Group 1-17,text,false,"The operation lasted too long: It took 1,062 milliseconds, but should not have lasted longer than 1,000 milliseconds.",6719,840,2,2,https://www.blazedemo.com/purchase.php,1061,0,0
1722207158661,804, LoginPage,200,OK,Thread Group 1-20,text,true,,5768,124,1,1,https://www.blazedemo.com/login,803,0,0
1722207159467,355,PurchasePage,200,OK,Thread Group 1-20,text,true,,6719,840,1,1,https://www.blazedemo.com/purchase.php,351,0,0
